Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
511855,22313,OFFICE MUG WARMER PINK,6,2010-06-11 08:25:00,4.95,12681.0,France
546642,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,2011-03-15 13:13:00,2.95,12779.0,Poland
522328,21010,ETCHED GLASS BIRD TREE DECORATION,12,2010-09-13 16:31:00,1.25,17132.0,United Kingdom
504704,85049G,CHOCOLATE BOX RIBBONS ,1,2010-04-15 19:22:00,1.25,15031.0,United Kingdom
543554,22295,HEART FILIGREE DOVE LARGE,12,2011-02-10 10:17:00,1.65,14733.0,United Kingdom
533294,21060,PARTY INVITES BALLOON GIRL,12,2010-11-16 16:01:00,0.85,13081.0,United Kingdom
570443,22195,LARGE HEART MEASURING SPOONS,80,2011-10-10 14:37:00,1.45,17203.0,United Kingdom
521839,79191C,RETRO PLASTIC ELEPHANT TRAY,12,2010-09-09 10:50:00,0.85,12635.0,Germany
537222,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-12-05 16:00:00,2.55,14404.0,United Kingdom
528574,22827,GIANT SEVENTEEN DRAWER SIDEBOARD,1,2010-10-22 13:10:00,165.0,13106.0,United Kingdom
508039,21100,CHARLIE AND LOLA CHARLOTTE BAG,2,2010-05-12 12:18:00,1.65,16898.0,United Kingdom
522622,22630,DOLLY GIRL LUNCH BOX,2,2010-09-15 15:32:00,1.95,17589.0,United Kingdom
531342,22633,HAND WARMER UNION JACK,6,2010-11-07 12:56:00,2.1,17041.0,United Kingdom
541795,22149,FELTCRAFT 6 FLOWER FRIENDS,5,2011-01-21 13:47:00,2.1,14692.0,United Kingdom
572333,23319,BOX OF 6 MINI 50'S CRACKERS,6,2011-10-24 10:23:00,2.49,13704.0,United Kingdom
536415,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,2010-12-01 11:57:00,2.95,12838.0,United Kingdom
566875,20727,LUNCH BAG  BLACK SKULL.,10,2011-09-15 13:43:00,1.65,17669.0,United Kingdom
565471,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-09-05 10:12:00,2.95,13931.0,United Kingdom
568142,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-09-25 11:22:00,0.95,16744.0,United Kingdom
564734,84987,SET OF 36 TEATIME PAPER DOILIES,6,2011-08-28 13:32:00,1.45,12484.0,Spain
544472,22112,CHOCOLATE HOT WATER BOTTLE,24,2011-02-21 09:09:00,4.25,15129.0,United Kingdom
577985,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10,2011-11-22 12:25:00,0.79,15116.0,United Kingdom
